oshpd_id,facility_name,county_name,control_type,er_service_level,datayear,source,disposition,count
106010735,ALAMEDA HOSPITAL,ALAMEDA,Public - District,Emergency - Basic,2010,ED Visit,Acute Care,232
106010735,ALAMEDA HOSPITAL,ALAMEDA,Public - District,Emergency - Basic,2010,ED Visit,Against Medical Advice,94
106010735,ALAMEDA HOSPITAL,ALAMEDA,Public - District,Emergency - Basic,2010,ED Visit,Died,34
106010735,ALAMEDA HOSPITAL,ALAMEDA,Public - District,Emergency - Basic,2010,ED Visit,Other Unknown,13
106010735,ALAMEDA HOSPITAL,ALAMEDA,Public - District,Emergency - Basic,2010,ED Visit,Prison/Jail,25
106010735,ALAMEDA HOSPITAL,ALAMEDA,Public - District,Emergency - Basic,2010,ED Visit,Psychiatric Care,25
106010735,ALAMEDA HOSPITAL,ALAMEDA,Public - District,Emergency - Basic,2010,ED Visit,Residential Care Facility,2
106010735,ALAMEDA HOSPITAL,ALAMEDA,Public - District,Emergency - Basic,2010,ED Visit,Routine (home),11252
106010735,ALAMEDA HOSPITAL,ALAMEDA,Public - District,Emergency - Basic,2010,ED Visit,SN/IC Care,117
106010735,ALAMEDA HOSPITAL,ALAMEDA,Public - District,Emergency - Basic,2010,ED Admit,Acute Care,85
106010735,ALAMEDA HOSPITAL,ALAMEDA,Public - District,Emergency - Basic,2010,ED Admit,Against Medical Advice,31
106010735,ALAMEDA HOSPITAL,ALAMEDA,Public - District,Emergency - Basic,2010,ED Admit,Died,85
106010735,ALAMEDA HOSPITAL,ALAMEDA,Public - District,Emergency - Basic,2010,ED Admit,Home Health Service,159
106010735,ALAMEDA HOSPITAL,ALAMEDA,Public - District,Emergency - Basic,2010,ED Admit,Other Care,15
106010735,ALAMEDA HOSPITAL,ALAMEDA,Public - District,Emergency - Basic,2010,ED Admit,Other Unknown,46
106010739,ALTA BATES SUMMIT MEDICAL CENTER-ALTA BATES CAMPUS,ALAMEDA,Nonprofit - Corporation,Emergency - Basic,2010,ED Visit,Routine (home),33028
106010739,ALTA BATES SUMMIT MEDICAL CENTER-ALTA BATES CAMPUS,ALAMEDA,Nonprofit - Corporation,Emergency - Basic,2010,ED Visit,SN/IC Care,152
106010739,ALTA BATES SUMMIT MEDICAL CENTER-ALTA BATES CAMPUS,ALAMEDA,Nonprofit - Corporation,Emergency - Basic,2010,ED Visit,Children's or Cancer Center,25
106010739,ALTA BATES SUMMIT MEDICAL CENTER-ALTA BATES CAMPUS,ALAMEDA,Nonprofit - Corporation,Emergency - Basic,2010,ED Visit,Not Defined Elsewhere,11
106010739,ALTA BATES SUMMIT MEDICAL CENTER-ALTA BATES CAMPUS,ALAMEDA,Nonprofit - Corporation,Emergency - Basic,2010,ED Admit,Acute Care,61
106010739,ALTA BATES SUMMIT MEDICAL CENTER-ALTA BATES CAMPUS,ALAMEDA,Nonprofit - Corporation,Emergency - Basic,2010,ED Admit,Against Medical Advice,104
106010739,ALTA BATES SUMMIT MEDICAL CENTER-ALTA BATES CAMPUS,ALAMEDA,Nonprofit - Corporation,Emergency - Basic,2010,ED Admit,Died,186
106010739,ALTA BATES SUMMIT MEDICAL CENTER-ALTA BATES CAMPUS,ALAMEDA,Nonprofit - Corporation,Emergency - Basic,2010,ED Admit,Home Health Service,1016
106010739,ALTA BATES SUMMIT MEDICAL CENTER-ALTA BATES CAMPUS,ALAMEDA,Nonprofit - Corporation,Emergency - Basic,2010,ED Admit,Other Care,318
106010739,ALTA BATES SUMMIT MEDICAL CENTER-ALTA BATES CAMPUS,ALAMEDA,Nonprofit - Corporation,Emergency - Basic,2010,ED Admit,Other Unknown,38
106010739,ALTA BATES SUMMIT MEDICAL CENTER-ALTA BATES CAMPUS,ALAMEDA,Nonprofit - Corporation,Emergency - Basic,2010,ED Admit,Residential Care Facility,42
106010739,ALTA BATES SUMMIT MEDICAL CENTER-ALTA BATES CAMPUS,ALAMEDA,Nonprofit - Corporation,Emergency - Basic,2010,ED Admit,Routine (home),4141
106010739,ALTA BATES SUMMIT MEDICAL CENTER-ALTA BATES CAMPUS,ALAMEDA,Nonprofit - Corporation,Emergency - Basic,2010,ED Admit,SN/IC Care,1073
106010739,ALTA BATES SUMMIT MEDICAL CENTER-ALTA BATES CAMPUS,ALAMEDA,Nonprofit - Corporation,Emergency - Basic,2010,ED Admit,Prison/Jail,2
106010739,ALTA BATES SUMMIT MEDICAL CENTER-ALTA BATES CAMPUS,ALAMEDA,Nonprofit - Corporation,Emergency - Basic,2010,ED Admit,Hospice Care,0
106010739,ALTA BATES SUMMIT MEDICAL CENTER-ALTA BATES CAMPUS,ALAMEDA,Nonprofit - Corporation,Emergency - Basic,2010,ED Admit,Psychiatric Care,0
106010739,ALTA BATES SUMMIT MEDICAL CENTER-ALTA BATES CAMPUS,ALAMEDA,Nonprofit - Corporation,Emergency - Basic,2010,ED Admit,Children's or Cancer Center,0
106010739,ALTA BATES SUMMIT MEDICAL CENTER-ALTA BATES CAMPUS,ALAMEDA,Nonprofit - Corporation,Emergency - Basic,2010,ED Admit,Critical Access Hospital,0
106010739,ALTA BATES SUMMIT MEDICAL CENTER-ALTA BATES CAMPUS,ALAMEDA,Nonprofit - Corporation,Emergency - Basic,2010,ED Admit,Not Defined Elsewhere,0
106010776,CHILDRENS HOSPITAL AND RESEARCH CTR AT OAKLAND,ALAMEDA,Nonprofit - Corporation,Emergency - Basic,2010,ED Visit,Acute Care,359
106010776,CHILDRENS HOSPITAL AND RESEARCH CTR AT OAKLAND,ALAMEDA,Nonprofit - Corporation,Emergency - Basic,2010,ED Visit,Against Medical Advice,912
106010776,CHILDRENS HOSPITAL AND RESEARCH CTR AT OAKLAND,ALAMEDA,Nonprofit - Corporation,Emergency - Basic,2010,ED Visit,Died,5
106010776,CHILDRENS HOSPITAL AND RESEARCH CTR AT OAKLAND,ALAMEDA,Nonprofit - Corporation,Emergency - Basic,2010,ED Visit,Other Unknown,44
106010776,CHILDRENS HOSPITAL AND RESEARCH CTR AT OAKLAND,ALAMEDA,Nonprofit - Corporation,Emergency - Basic,2010,ED Visit,Routine (home),41303
106010776,CHILDRENS HOSPITAL AND RESEARCH CTR AT OAKLAND,ALAMEDA,Nonprofit - Corporation,Emergency - Basic,2010,ED Admit,Acute Care,67
106010776,CHILDRENS HOSPITAL AND RESEARCH CTR AT OAKLAND,ALAMEDA,Nonprofit - Corporation,Emergency - Basic,2010,ED Admit,Against Medical Advice,15
106010776,CHILDRENS HOSPITAL AND RESEARCH CTR AT OAKLAND,ALAMEDA,Nonprofit - Corporation,Emergency - Basic,2010,ED Admit,Died,10
106010776,CHILDRENS HOSPITAL AND RESEARCH CTR AT OAKLAND,ALAMEDA,Nonprofit - Corporation,Emergency - Basic,2010,ED Admit,Other Care,34
106010776,CHILDRENS HOSPITAL AND RESEARCH CTR AT OAKLAND,ALAMEDA,Nonprofit - Corporation,Emergency - Basic,2010,ED Admit,Routine (home),7378
106010776,CHILDRENS HOSPITAL AND RESEARCH CTR AT OAKLAND,ALAMEDA,Nonprofit - Corporation,Emergency - Basic,2010,ED Admit,SN/IC Care,4
106010776,CHILDRENS HOSPITAL AND RESEARCH CTR AT OAKLAND,ALAMEDA,Nonprofit - Corporation,Emergency - Basic,2010,ED Admit,Hospice Care,0
106010776,CHILDRENS HOSPITAL AND RESEARCH CTR AT OAKLAND,ALAMEDA,Nonprofit - Corporation,Emergency - Basic,2010,ED Admit,Psychiatric Care,0
106010735,ALAMEDA HOSPITAL,ALAMEDA,Public - District,Emergency - Basic,2010,ED Admit,Residential Care Facility,32
106010735,ALAMEDA HOSPITAL,ALAMEDA,Public - District,Emergency - Basic,2010,ED Admit,Routine (home),1117
106010735,ALAMEDA HOSPITAL,ALAMEDA,Public - District,Emergency - Basic,2010,ED Admit,SN/IC Care,692
106010735,ALAMEDA HOSPITAL,ALAMEDA,Public - District,Emergency - Basic,2010,ED Admit,Hospice Care,0
106010735,ALAMEDA HOSPITAL,ALAMEDA,Public - District,Emergency - Basic,2010,ED Admit,Psychiatric Care,0
106010735,ALAMEDA HOSPITAL,ALAMEDA,Public - District,Emergency - Basic,2010,ED Admit,Children's or Cancer Center,0
106010735,ALAMEDA HOSPITAL,ALAMEDA,Public - District,Emergency - Basic,2010,ED Admit,Critical Access Hospital,0
106010735,ALAMEDA HOSPITAL,ALAMEDA,Public - District,Emergency - Basic,2010,ED Admit,Not Defined Elsewhere,0
106010739,ALTA BATES SUMMIT MEDICAL CENTER-ALTA BATES CAMPUS,ALAMEDA,Nonprofit - Corporation,Emergency - Basic,2010,ED Visit,Acute Care,205
106010739,ALTA BATES SUMMIT MEDICAL CENTER-ALTA BATES CAMPUS,ALAMEDA,Nonprofit - Corporation,Emergency - Basic,2010,ED Visit,Against Medical Advice,237
